UDG ID,log_10(M*),log_10(Mgas),log_10(Mbary),log_10(Mdyn),Mg,Tidal index Θ,log_10(M*/Mgas),log_10(M*/Mdyn),log_10(Mbary/Mdyn),AM star,AM DM,β_*,σ_z/σ_r,σ_θ/σ_r,class
490081,9.867833955,8.43275526,9.883496092,10.0746066,-19.8451,6.85768657,1.435078695,-0.2067726489,-0.1911105121,19.98942559,2.877712388,0.01501550891,0.9222274695,1.072633676,2
492876,10.9287369,10.77683836,11.16042504,12.26109335,-20.9078,2.549524511,0.1518985375,-1.332356448,-1.100668306,721.3694097,883.5692529,0.02152923792,0.7285532151,0.991031839,2
494011,10.88383478,11.03390672,11.26635098,12.17431678,-21.9578,4.691120369,-0.1500719453,-1.290482002,-0.907965796,1131.317959,2521.09977,-0.1809406808,0.9824282927,1.133450463,2
496788,10.45617834,11.14352089,11.22466179,12.1430298,-21.6125,2.988921043,-0.6873425567,-1.686851465,-0.9183680074,903.1746806,4934.329347,0.4891697827,0.5264160088,0.7890607959,2
496789,10.46821722,9.755898665,10.545202,11.18262747,-20.8613,3.94932337,0.7123185523,-0.7144102565,-0.6374254708,540.1770701,75.2910053,0.1842130662,0.8296806075,1.015577949,2
499021,10.50597045,10.88651476,11.0376845,12.05331946,-21.1154,2.682620015,-0.3805443144,-1.547349012,-1.015634958,137.5670443,2449.563509,0.1745016653,0.7468702752,0.6748879515,2
500577,10.51403431,10.58600838,10.85254064,11.79129761,-20.6353,1.835136707,-0.07197406671,-1.277263298,-0.9387569721,695.4933251,746.4201615,0.2162762371,0.7646678307,0.9335564632,2
501725,10.8757385,11.0635146,11.28072707,12.12800582,-21.9521,1.886387231,-0.1877761065,-1.252267322,-0.8472787473,1881.974254,1164.928399,0.3192880098,0.550628342,0.6390786788,2
502371,10.70262756,11.19660635,11.31739165,12.12280988,-21.9605,2.012330553,-0.4939787903,-1.420182324,-0.8054182346,1319.086869,2853.424362,0.3725070823,0.6569174431,0.8754112815,2
502995,10.87818057,10.96832107,11.22661528,12.09798415,-22.1544,1.711139415,-0.09014049249,-1.219803581,-0.8713688731,1075.052389,1405.908438,0.4961545213,0.6096617985,0.7749836377,2
505101,10.46963795,10.11107148,10.62738448,11.25964301,-20.6261,3.76940769,0.3585664716,-0.7900050567,-0.6322585311,550.4368122,104.42978,0.2002014555,0.7907557399,1.004735811,2
507292,10.42017852,10.98408087,11.08889534,11.90255056,-21.272,3.996038973,-0.5639023491,-1.482372038,-0.8136552232,894.4993981,3015.79692,-0.2408182232,0.7817018801,0.9680839017,2
507294,10.43068236,9.789198991,10.5199888,10.88604208,-20.5874,5.012547453,0.6414833694,-0.4553597226,-0.3660532784,329.6789891,72.27574505,0.206131578,0.851076823,0.9593152051,2
508538,10.51899224,10.80657403,10.98719445,11.88258638,-21.169,3.119537094,-0.2875817922,-1.363594147,-0.8953919331,616.7251847,971.2694637,0.236222504,0.8308702743,0.8305503822,2
508539,10.40512749,10.48026425,10.74534876,11.73534833,-20.0728,1.650648341,-0.07513675431,-1.330220834,-0.9899995693,27.15455894,576.3432874,0.2461927715,0.7304179935,0.916620072,2
510585,10.69346962,11.02617447,11.19196201,12.13068384,-21.5969,2.50093399,-0.3327048449,-1.437214217,-0.9387218267,732.7469813,1895.754174,-0.1996205065,0.5928716857,0.7025734495,2
514272,10.56188366,11.03280985,11.15930566,12.09329351,-20.8149,2.916662016,-0.4709261919,-1.53140985,-0.933987851,248.8104489,3819.856521,-0.7372606237,0.7055657578,0.8226874183,2
514273,10.18945522,10.14928517,10.47086447,11.06131221,-20.2136,3.948643318,0.04017004828,-0.8718569885,-0.5904477416,102.6663442,19.02668609,-0.4611452481,0.9874066075,1.390610988,2
518120,10.30089426,11.05600889,11.12632239,11.98477477,-20.9054,3.793346673,-0.7551146306,-1.683880511,-0.8584523822,401.0341446,3430.981108,-0.1327724983,1.153234912,0.9458540384,2
520310,10.4028327,10.98758248,11.08801017,11.88130359,-20.4304,2.050778695,-0.5847497771,-1.478470882,-0.793293412,724.3661862,1851.306136,-0.1704513696,0.5715851747,0.7684167615,2
521429,10.6598055,10.96955026,11.14275598,12.10164784,-21.9709,3.570654197,-0.3097447626,-1.441842346,-0.9588918599,827.436188,992.928456,-0.02538918717,0.8189633063,0.8609840796,2
521803,10.62328454,10.87810135,11.07014968,12.02476796,-21.2058,1.592359256,-0.2548168122,-1.40148342,-0.9546182792,699.89547,533.2487666,0.5978620041,0.4963544726,0.7333834619,2
525533,10.58308601,11.01251189,11.14987445,12.0163904,-21.4797,2.200397508,-0.4294258743,-1.433304392,-0.8665159501,170.0966864,86869.71994,0.1352775934,0.8451890726,0.9646044173,2
526029,10.52452336,10.96283865,11.09780876,11.95404252,-21.6302,2.303491433,-0.4383152937,-1.429519165,-0.8562337578,853.9510751,889.116758,-1.133134581,0.5295670417,0.7718830172,2
526879,10.46321409,10.81910722,10.9776697,12.00901166,-20.0686,3.570291681,-0.3558931302,-1.545797578,-1.031341959,318.7150861,2637.888016,0.2916010613,0.8464369074,0.9782181794,2
527309,10.52906269,10.61872096,10.87723142,11.82578237,-21.1947,3.073282568,-0.08965827107,-1.296719683,-0.9485509521,993.11868,554.0101931,-0.0700621168,0.6586558573,0.7585483597,2
528836,10.64807018,10.81348811,11.03963772,11.93040028,-21.4708,1.622721176,-0.1654179313,-1.282330095,-0.8907625553,1221.526444,1008.091215,0.3199792275,0.6922126008,0.8419828598,2
529855,10.366948,10.98872423,11.08176195,11.99418181,-20.7356,2.576385906,-0.6217762372,-1.627233819,-0.9124198604,227.3145997,3328.089611,0.2335163299,0.6433692757,0.9895101707,2
535050,10.61471301,10.83897692,11.04219279,11.92428061,-21.5868,1.574657258,-0.2242639146,-1.309567601,-0.8820878177,803.1292196,65317.1688,-1.105787635,0.4988531616,0.6495754198,2
536146,10.51045742,10.81057235,10.98696884,11.88730075,-21.2807,2.102108056,-0.3001149286,-1.376843329,-0.9003319046,684.646921,1132.023072,-0.1546279214,0.5056968247,0.7404443731,2
542662,10.50112348,10.66313719,10.89067183,11.98396721,-20.3996,3.567283528,-0.1620137139,-1.482843731,-1.093295374,408.9266134,1312.044383,0.08995951153,0.650385219,0.9581426578,2
544697,10.54860401,10.96086992,11.10295284,11.92954446,-21.3838,1.634213526,-0.4122659074,-1.380940451,-0.826591629,897.1243203,2376.462706,0.1434904418,0.7315884456,0.913908702,2
545003,10.2572421,10.38786993,10.62847891,11.91307536,-19.2471,2.142782585,-0.1306278324,-1.65583326,-1.284596443,77.6873227,1107.718328,0.3802063939,0.9438973084,0.8703511296,2
549090,10.30219437,10.65806834,10.81663669,11.76638538,-20.5508,1.725723882,-0.3558739711,-1.464191016,-0.9497486951,196.7684505,464.2292701,0.4342549641,0.5925299707,0.8789884811,2
