UDG ID,log_10(M*),log_10(Mgas),log_10(Mbary),log_10(Mdyn),Mg,Tidal index Θ,log_10(sSFR),log_10(M*/Mgas),log_10(M*/Mdyn),log_10(Mbary/Mdyn),AM star,AM DM,T_DM,e_DM,f_DM,T_*,e_*,f_*,β_*,σ_z/σ_r,σ_θ/σ_r,V/σ,λRe,h3,h4,class
669546,8.65259518,9.076059874,9.215046925,10.53434165,-16.7585,-1.206298548,-9.769329615,-0.4234646944,-1.881746475,-1.31929473,10.60831861,52.34171402,0.2715701546,0.2676430497,0.4549345518,0.9735384039,0.913521654,0.3702371062,0.09478836992,0.8532158104,0.9725556464,0.257562,0.161102,0.016268,0.045446,3
671157,8.348631169,9.179764715,9.239526978,10.25991815,-16.6303,-0.2941761939,-9.508211392,-0.8311335453,-1.911286984,-1.020391176,15.08086063,73.39266461,0.3532049687,0.3625975052,0.526506907,0.8910440892,0.6742812641,0.3192870574,0.1905153016,0.6812578972,0.8649518254,0.086493,0.091517,0.006477,-0.175613,3
677438,8.248363443,9.080464547,9.140102542,10.30036694,-15.6863,-0.8140899191,-9.940132081,-0.8321011042,-2.052003501,-1.160264402,2.31015674,25.6943504,0.7328171947,0.4931908018,0.3423272713,0.985224504,0.9274390321,0.3037015049,-0.03739442015,1.085862545,1.033742113,0.180399,0.160003,-0.001393,0.006459,3
679172,8.335155759,8.32427076,8.630777357,9.25167969,-16.9547,-0.4249933463,-9.274004978,0.01088499854,-0.9165239315,-0.6209023338,0.9096334533,1.877406256,0.4714764418,0.4200654116,0.4900895235,0.8171707634,0.7164622887,0.4857772825,0.02779700874,1.114470383,1.048645866,0.074015,0.075377,-0.004833,0.0144,3
679464,8.248607126,9.383113782,9.413861514,10.40535849,-16.2871,-0.5355806324,-9.516583478,-1.134506656,-2.156751364,-0.9914969753,8.046831331,106.0763894,0.2607994248,0.2667396652,0.4659535812,0.9916957969,0.966080623,0.3423328082,0.1009119926,0.9171691014,1.111733178,0.218758,0.212005,-0.008234,-0.14282,3
684589,8.500576375,9.200052618,9.279149532,10.51256653,-16.6364,-0.8173223052,-9.802905985,-0.6994762432,-2.011990158,-1.233417001,2.257926033,47.60665522,0.08360068516,0.2043836593,0.69127262,0.9209021511,0.8887792879,0.5683110189,0.1071127589,0.8988787351,0.9065971629,0.031603,0.03655,-0.015043,-0.198778,3
691469,8.406080289,8.815949236,8.958702306,10.29090498,-15.9407,-1.437980752,-10.18634125,-0.4098689466,-1.884824696,-1.332202679,27.96065082,39.50057113,0.3602142947,0.3748662477,0.5388854211,0.9342983094,0.8902296263,0.518259987,0.1628521117,0.6958354444,1.016597489,0.276784,0.196218,-0.018788,-0.104989,3
691886,8.401943657,9.325231612,9.374185748,10.10083688,-16.8886,-1.181884542,-9.590376023,-0.9232879553,-1.698893226,-0.7266511353,27.2263369,34.01878414,0.3798706657,0.278219201,0.3700880201,0.4462520339,0.3818219294,0.4601972276,0.06340558487,0.9127604603,1.065620845,0.524398,0.31747,-0.022136,-0.051459,3
694422,8.293343718,8.681780686,8.830645161,9.660148318,-16.6147,-0.09636171626,-9.641688768,-0.388436968,-1.3668046,-0.8295031569,11.08823709,24.82938478,0.4501323155,0.4383588772,0.5390458784,0.9044900855,0.8380600206,0.499160903,0.08711620081,0.8012520181,0.9937908215,0.17278,0.154808,-0.003973,0.013796,3
699614,8.370148108,8.603799234,8.803530826,9.565807584,-16.5688,-0.2341828785,-9.501879359,-0.2336511257,-1.195659476,-0.762276758,13.6004748,9.632977571,0.2360000194,0.2754374939,0.5155208021,0.7961907301,0.7298083723,0.5401038938,0.2135567933,0.8065729357,0.9040124835,0.187171,0.148081,0.00453,-0.001885,3
